月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,1,1,0.12,2.414811836,0,0,69.57360333,-74,-48
1,1,2,-0.64,2.547592376,0,0,64.16337361,-63,-72
1,1,3,-0.97,2.46898496,0,0,64.30716222,-51,-85
1,1,4,-1.42,2.391881759,0,0,63.98583861,-38,-87
1,1,5,-0.39,2.708633444,0,0,62.27903056,-26,-79
1,1,6,-0.35,2.794014546,0,0,60.95322194,-14,-72
1,1,7,-1.05,2.720631078,0,0,59.49382694,-3,-64
1,1,8,-0.29,2.913753049,1055.908897,21.16044556,59.14747972,8,-55
1,1,9,1.15,2.939337318,703.0924056,63.95333972,64.40764417,17,-45
1,1,10,5.3,2.683121072,734.8172089,89.47457278,85.71803583,25,-32
1,1,11,6.9,2.740463833,943.3287794,89.31371861,91.43939389,30,-18
1,1,12,7.9,2.761888447,794.6374531,104.8052561,95.32904222,32,-2
1,1,13,8.5,2.723951429,807.4287586,99.80897667,98.56768167,31,14
1,1,14,8.8,2.775316201,630.7281922,122.6140581,98.97121389,26,29
1,1,15,9,2.856998605,261.7909197,147.590965,98.43565167,19,42
1,1,16,8.3,2.875981781,18.811945,71.69054694,95.08962667,10,53
1,1,17,7.2,2.777898683,0,0,92.06406722,0,62
1,1,18,5.5,2.990051473,0,0,81.30293194,-11,70
1,1,19,3.8,3.264073439,0,0,69.80917639,-23,77
1,1,20,4,3.463815673,0,0,67.49782667,-35,85
1,1,21,2.7,3.319797811,0,0,64.44293333,-48,87
1,1,22,2.6,3.191295361,0,0,66.08678611,-60,76
1,1,23,0.9,3.15992561,0,0,59.77733778,-71,56
1,1,24,-0.5,3.244659258,0,0,52.89641472,-78,8
1,2,1,1.6,2.890463804,0,0,67.0285775,-74,-48
1,2,2,2.1,2.593989416,0,0,74.19360028,-63,-72
1,2,3,2.1,2.618926518,0,0,73.74859667,-51,-84
1,2,4,-0.4,2.642915473,0,0,63.397145,-39,-87
1,2,5,1,2.787470784,0,0,66.39490639,-26,-79
1,2,6,-0.9,2.835240945,0,0,58.09714472,-14,-72
1,2,7,-0.9,2.830465419,0,0,58.17884333,-3,-64
1,2,8,0.6,3.01581776,1050.413105,20.98464472,60.94770444,8,-55
1,2,9,7.3,3.263300443,921.9965322,48.05797361,84.44467056,17,-45
1,2,10,9.7,3.455015417,911.9619461,70.93460667,91.78511361,25,-33
